Problem, Success, Replans, Number Actions, Count
esterel
m4_p1, 0.2, 8.5, 11.31, 100
m4_p2, 0.07, 9.47, 9.29, 100
m4_p3, 0.0, 10.0, 7.38, 100
m4_p4, 0.03, 9.74, 7.93, 100
m4_p5, 0.0, 10.0, 6.97, 100
m4_p6, 0.0, 10.0, 5.86, 100
m4_p7, 0.0, 10.0, 5.82, 100
Problem, Success, Replans, Number Actions, Count
adaptable
m4_p1, 0.26, 7.4, 7.41, 100
m4_p2, 0.1, 9.0, 5.46, 100
m4_p3, 0.06, 9.4, 4.08, 100
m4_p4, 0.05, 9.5, 2.96, 100
m4_p5, 0.03, 9.7, 2.78, 100
m4_p6, 0.020202020202, 9.79797979798, 2.65656565657, 99
m4_p7, 0.030612244898, 9.69387755102, 2.22448979592, 98
